Description,easting (m),northing (m),GPS_accuracy (m),time,satalite_connections
Gonzalas Beach from Crecenent Rd./Foul Bay Rd.,475836,5362095,4.3,10:48,15/24
Gonzalas Beach from Crecent Rd.,475729,5362150,3.2,10:51,16/22
Gonzalas Beach from Ross St.,475729,5362073,3.2,10:55,17/21
Ross Bay from Dallas Rd./St. Charle St.,475083,5361930,3.2,11:13,14/22
Ross Bay from Dallas Rd.,474427,5361738,3.2,11:19,14/20
Ross Bay from Dallas Rd./Bushby St.,474227,5361584,3.2,11:26,15/23
Spiral Beach from Clover Point,474116,5361222,3.2,11:33,17/21
Ross Bay from Clover Point,474143,5361305,3.2,11:34,18/21
Spiral Beach from Clover Point,474054,5361384,3.2,11:35,17/21
Beacon Hill Bluffs from Dallas Rd./Cook St.,473530,5361662,3.2,11:45,11/21
Beacon Hill Bluffs from Dallas Rd.,473289,5361668,3.2,11:48,14/26
Beacon Hill Bluffs from Dallas Rd.,472908,5361719,3.2,11:54,16/27
Beacon Hill Bluffs from Dallas Rd. (Finlayson Point),473040,5361621,3.2,11:56,14/20
Fonyo Beach from Dallas Rd./Government St.,472655,5361775,3.2,12:06,15/23
Fonyo Beach from Dallas Rd./Paddon St.,472457,5361873,3.2,12:09,15/21
Fonyo Beach from Dallas Rd.,472200,5361870,3.2,12:20,15/20
Access from Holland Point Park,472148,5361868,3.2,12:21,17/21
Access from Holland Point Park,472084,5361932,3.2,12:22,15/19
Access from Dallas Rd.,471987,5362202,3.2,12:26,16/20
Access from Dallas Rd./San Jose Ave.,471770,5362354,3.2,12:28,17/23
Access from Dallas Rd./Dock St.,471581,5362521,3.2,12:31,14/21
